"","timestampMs","latitudeE7","longitudeE7","accuracy","Timestamp"
"2342",1536769663749,51.4964424,-0.1439453,29,2018-09-12 17:27:43
"2354",1536769912988,51.495278,-0.1446781,15,2018-09-12 17:31:52
"2366",1536770166529,51.4954365,-0.1446032,14,2018-09-12 17:36:06
"2381",1536770416590,51.4954021,-0.1433667,36,2018-09-12 17:40:16
"2393",1536770680119,51.4951646,-0.1427855,22,2018-09-12 17:44:40
"2698",1536774799695,51.2963895,0.4073237,42,2018-09-12 18:53:19
"2781",1536775296734,51.2848529,0.4790511,13,2018-09-12 19:01:36
"2818",1536776066448,51.2889092,0.5008482,16,2018-09-12 19:14:26
"2819",1536776208048,51.2889092,0.5008482,33,2018-09-12 19:16:48
"2841",1536776568218,51.2889092,0.5008482,31,2018-09-12 19:22:48
"2852",1536776808259,51.2889092,0.5008482,31,2018-09-12 19:26:48
"2922",1536777719300,51.2888977,0.500926,14,2018-09-12 19:41:59
"2923",1536777736000,51.288863,0.5010164,10,2018-09-12 19:42:16
"2935",1536777767321,51.2888223,0.5010151,10,2018-09-12 19:42:47
"2936",1536777782366,51.2888223,0.5010151,10,2018-09-12 19:43:02
"2937",1536777797402,51.2888223,0.5010151,10,2018-09-12 19:43:17
"2938",1536777812469,51.2888223,0.5010151,10,2018-09-12 19:43:32
"2939",1536777827531,51.2888223,0.5010151,10,2018-09-12 19:43:47
"2940",1536777842591,51.2888223,0.5010151,10,2018-09-12 19:44:02
"2941",1536777857634,51.2888223,0.5010151,10,2018-09-12 19:44:17
"2942",1536777872697,51.2888223,0.5010151,10,2018-09-12 19:44:32
"2943",1536777887742,51.2888223,0.5010151,10,2018-09-12 19:44:47
"2944",1536777902783,51.2888223,0.5010151,10,2018-09-12 19:45:02
"2945",1536777917831,51.2888223,0.5010151,10,2018-09-12 19:45:17
"2957",1536777950252,51.2888223,0.5010151,10,2018-09-12 19:45:50
"3003",1536778362217,51.2888933,0.5010036,14,2018-09-12 19:52:42
